% Model:              Micro_3DArray_v2.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jan 30 2025, 12:40
% Dimension:          3
% Nodes:              501
% Expressions:        5
% Description:        Electric field, x-component, Electric field, y-component, Electric field, z-component, Electric potential, 
% Length unit:        m
% x                       y                        z                        ec.Ex (V/m)              ec.Ey (V/m)              ec.Ez (V/m)              V (V)                    d(ec.Ex,x) (V/m^2)
4.9999999999999996E-5     1.18E-4                  8.099999999999999E-5     16.19066601256153        24.43818148659102        28.840351932164822       0.004994280097495121     4455106.571215315
5.1E-5                    1.18E-4                  8.099999999999999E-5     20.645772583777976       26.82655804809906        29.42139968716606        0.00497586187819695      4455106.571215315
5.2E-5                    1.18E-4                  8.099999999999999E-5     22.678704154304228       29.535483885366716       29.639681530506437       0.00495395250565774      1423778.92790699
5.3E-5                    1.18E-4                  8.099999999999999E-5     23.342230975312077       31.914782562516677       29.74555482253936        0.004930700475499644     1253641.3906207085
5.4E-5                    1.18E-4                  8.099999999999999E-5     24.32389233716748        34.55438103990696        29.881804210854625       0.004906563912733366     -161417.17871716619
5.4999999999999995E-5     1.18E-4                  8.099999999999999E-5     24.162475158449354       36.114463057984835       29.975336983234456       0.004882320728985558     -161417.17871716619
5.6E-5                    1.18E-4                  8.099999999999999E-5     24.657449770729272       37.434137719208564       29.850145814377754       0.00485806887106751      732153.7724442482
5.6999999999999996E-5     1.18E-4                  8.099999999999999E-5     24.81274712873197        37.8106611551367         29.544537748565574       0.004833631031452076     869465.5258575305
5.8E-5                    1.18E-4                  8.099999999999999E-5     25.629268973845228       38.5792469999833         28.96926623817194        0.004808403237464076     809905.4682202339
5.9E-5                    1.18E-4                  8.099999999999999E-5     27.16921900626801        37.096918686739514       26.984176737388225       0.004781901857210489     529680.5505347252
5.9999999999999995E-5     1.18E-4                  8.099999999999999E-5     27.550764820686254       36.774965752985224       23.69351527987942        0.0047545049699845715    259799.75032520294
6.1E-5                    1.18E-4                  8.099999999999999E-5     27.054179581846483       36.90009824093295        19.065877104938835       0.004726970685831536     -2570513.092966795
6.2E-5                    1.18E-4                  8.099999999999999E-5     24.327176882177923       35.39884938038283        14.66793303554141        0.004701341231441699     -2736372.7460074425
6.3E-5                    1.18E-4                  8.099999999999999E-5     21.590804136170163       34.56504863243839        11.7617530709133         0.004678382240932526     -2736372.7460074425
6.4E-5                    1.18E-4                  8.099999999999999E-5     14.9368497344052         33.82040207555201        11.639547725526654       0.0046605895456377526    -4860835.108948253
6.5E-5                    1.18E-4                  8.099999999999999E-5     11.536667595069048       33.20740928276177        13.350652124256612       0.004647275352372516     -3220733.263290599
6.599999999999999E-5      1.18E-4                  8.099999999999999E-5     8.55939652372092         32.06144258710526        15.433484281255005       0.004637199745315335     -2156672.8510556817
6.7E-5                    1.18E-4                  8.099999999999999E-5     6.559788711442934        30.982760023541204       17.58537204403251        0.004629413416062661     -35457.397423267365
6.8E-5                    1.18E-4                  8.099999999999999E-5     6.741873454577423        29.701438760678002       19.405685734486383       0.004622790646431749     128077.76890719403
6.9E-5                    1.18E-4                  8.099999999999999E-5     6.482356955635112        28.158644563927645       20.7476876531872         0.004616187468587766     -213095.84670257568
7.0E-5                    1.18E-4                  8.099999999999999E-5     7.245550862630736        26.302264920862044       21.632806753291234       0.004609413417527697     692194.764460519
7.099999999999999E-5      1.18E-4                  8.099999999999999E-5     8.36652173890468         24.516220253077876       22.377395454069813       0.004601699404242519     2101684.687496662
7.2E-5                    1.18E-4                  8.099999999999999E-5     10.226581074239448       22.051218520482962       22.53885386462275        0.004592283129391551     1800751.968356967
7.3E-5                    1.18E-4                  8.099999999999999E-5     13.357675761173596       20.512636105187227       23.36772527918413        0.004580393214225899     2797345.019352913
7.4E-5                    1.18E-4                  8.099999999999999E-5     16.753880442535774       20.370012740204857       23.88145786916283        0.004565611193830077     3819107.4344363213
7.5E-5                    1.18E-4                  8.099999999999999E-5     20.441975034590996       20.857151951296505       24.04775607206102        0.004546825321498192     3271804.7523318827
7.599999999999999E-5      1.18E-4                  8.099999999999999E-5     22.58562943463835        22.318015021423548       24.182098176869943       0.004524786789816321     1849510.9284710884
7.7E-5                    1.18E-4                  8.099999999999999E-5     25.505784241177366       25.13090344057821        24.28633068982424        0.004500592311982257     2250936.795897007
7.8E-5                    1.18E-4                  8.099999999999999E-5     25.66985457182036        27.49881233103224        24.507040180177682       0.0044748994994505695    412145.8819005409
7.9E-5                    1.18E-4                  8.099999999999999E-5     25.640457925629022       29.574122575373167       24.41146221957547        0.004448981798486367     -1049057.132554613
7.999999999999999E-5      1.18E-4                  8.099999999999999E-5     25.133892789583683       30.76141535643803        25.10450715204138        0.004423728172308509     -529569.0842254162
8.099999999999999E-5      1.18E-4                  8.099999999999999E-5     24.604323705358112       31.372528077197202       25.53015498417851        0.004398859064061039     -529569.0842254162
8.2E-5                    1.18E-4                  8.099999999999999E-5     25.650937371674218       30.53154621940511        25.38366453049739        0.004373647729638199     173923.66240787506
8.3E-5                    1.18E-4                  8.099999999999999E-5     26.240227898456055       31.61693793051967        24.68813949226336        0.004348017840344374     1836011.2672309875
8.4E-5                    1.18E-4                  8.099999999999999E-5     28.174160593694978       30.85988255936047        23.60743655696706        0.004320950853391987     588550.1656844616
8.499999999999999E-5      1.18E-4                  8.099999999999999E-5     28.806937231755697       30.987481257258594       21.07307230157953        0.004292465765705982     -370315.9072074145
8.599999999999999E-5      1.18E-4                  8.099999999999999E-5     28.669140123416213       30.03470243368571        17.12072240187672        0.004263765148012826     -45017.907290935516
8.7E-5                    1.18E-4                  8.099999999999999E-5     27.223398248410774       29.336304767511677       12.44766292724978        0.004235510088898836     -3925980.001317024
8.8E-5                    1.18E-4                  8.099999999999999E-5     23.711933118492198       28.609138905107557       10.461663763932847       0.004210174924099665     -3734592.1799459457
8.9E-5                    1.18E-4                  8.099999999999999E-5     19.59869825709825        27.049209785826747       8.42380957319881         0.004188768216485524     -4818450.720232964
8.999999999999999E-5      1.18E-4                  8.099999999999999E-5     14.780247536862817       26.27569308497766        9.02490882735367         0.00417157874358854      -4818450.720232964
9.099999999999999E-5      1.18E-4                  8.099999999999999E-5     12.129493006097867       25.21482732524609        10.70838464566873        0.004157964558360602     -2058809.7150023691
